Time;Temperature;Strain;Stress;Stiffness;Relaxation Modulus;Creep Compliance
0,05;29,19;0,4011;0,002801;124,7;0,6984;1431940
0,07;29,16;0,899;0,004875;96,84;0,5423;1844130
0,08;29,14;1,533;0,006949;80,97;0,4534;2205510
0,1;29,18;2,363;0,009023;68,19;0,3818;2618930
0,12;29,19;3,394;0,0111;58,39;0,327;3058570
0,13;29,17;4,341;0,01317;54,19;0,3034;3295580
0,15;29,15;5,292;0,01524;51,45;0,2881;3471020
0,17;29,15;6,166;0,01732;50,16;0,2809;3560220
0,18;29,14;7,034;0,01939;49,23;0,2757;3627100
0,2;29,13;7,9;0,02147;48,52;0,2717;3680260
0,22;29,13;8,703;0,02354;48,3;0,2705;3697060
0,23;29,11;9,473;0,02562;48,29;0,2704;3698190
0,25;29,1;10,26;0,02769;48,21;0,2699;3704510
0,27;29,08;11,11;0,02976;47,86;0,268;3731250
0,28;29,07;11,95;0,03184;47,58;0,2664;3753260
0,3;29,08;12,76;0,03391;47,46;0,2658;3762580
0,32;29,08;13,61;0,03599;47,2;0,2643;3783240
0,33;29,07;14,9;0,03806;45,63;0,2555;3913980
0,35;29,07;18,02;0,04013;39,77;0,2227;4490470
0,37;29,06;20,28;0,04221;37,17;0,2081;4804430
0,38;29,04;21,49;0,04428;36,79;0,206;4853970
0,4;29,02;22,48;0,04635;36,82;0,2062;4850380
0,42;29,02;23,49;0,04843;36,82;0,2062;4850440
0,43;29,01;24,51;0,0505;36,79;0,206;4854110
0,45;29;25,56;0,05258;36,74;0,2057;4860780
0,47;29;26,56;0,05465;36,74;0,2057;4860280
0,48;29;27,49;0,05673;36,85;0,2064;4845660
0,5;29;28,42;0,0588;36,95;0,2069;4833460
0,52;28,99;29,49;0,06087;36,86;0,2064;4844180
0,53;28,98;30,59;0,06295;36,74;0,2058;4860020
0,55;28,97;31,72;0,06502;36,61;0,205;4877870
0,57;28,96;32,86;0,06709;36,47;0,2042;4896980
0,58;28,94;34,06;0,06917;36,26;0,2031;4924830
0,6;28,92;35,3;0,07124;36,04;0,2018;4954800
0,62;28,92;36,29;0,07332;36,07;0,202;4950210
