Time;Temperature;Strain;Stress;Stiffness;Relaxation Modulus;Creep Compliance
0;28,72;0,04464;3,20E-07;0,7064;0,0007165;1395590000
0,02;28,72;0,046;3,33E-07;0,7144;0,0007247;1379920000
0,04;28,72;0,04885;2,98E-07;0,601;0,0006096;1640400000
0,05;28,71;0,04935;3,47E-07;0,6931;0,000703;1422410000
0,07;28,71;0,9058;0,00148;161,1;0,1634;6121110
0,09;28,71;12,4;0,008101;64,39;0,06532;15309300
0,1;28,71;27,08;0,01515;55,13;0,05592;17881900
0,12;28,71;36,78;0,02219;59,48;0,06033;16575200
0,14;28,7;43,44;0,02923;66,34;0,06729;14860200
0,15;28,69;48,52;0,03628;73,72;0,07477;13373500
0,17;28,68;53,05;0,04332;80,5;0,08166;12246300
0,19;28,67;57,2;0,05037;86,8;0,08805;11357500
0,2;28,66;60,89;0,05741;92,95;0,09428;10606400
0,22;28,65;64,3;0,06446;98,82;0,1002;9976550
0,24;28,65;67,83;0,0715;103,9;0,1054;9487210
0,25;28,65;71,53;0,07854;108,3;0,1098;9106940
0,27;28,66;74,31;0,08559;113,6;0,1152;8681920
0,29;28,67;76,98;0,09263;118,6;0,1203;8310020
0,3;28,67;80,19;0,09968;122,5;0,1243;8044740
0,32;28,68;83,77;0,1067;125,6;0,1274;7849330
0,34;28,68;88,25;0,1138;127,1;0,1289;7757280
