Time;Temperature;Strain;Stress;Relaxation Modulus;Creep Compliance;Stiffness
0;29,09;0,8192;2,20E-07;0,00002682;37283200000;0,02845
0,01;29,13;0,8704;2,36E-07;0,00002713;36860800000;0,02877
0,03;29,19;0,9204;0,000009146;0,0009937;1006350000;1,054
0,04;29,19;1,823;0,0005839;0,03202;31226200;33,96
0,06;29,18;8,595;0,001482;0,01724;57995300;18,29
0,08;29,19;18,49;0,00238;0,01287;77696800;13,65
0,09;29,19;22,43;0,003278;0,01461;68427800;15,5
0,11;29,19;24,74;0,004176;0,01688;59255500;17,9
0,13;29,19;26,43;0,005074;0,0192;52084200;20,36
0,14;29,19;27,9;0,005972;0,0214;46719600;22,7
0,16;29,18;29,19;0,00687;0,02353;42493800;24,96
0,18;29,18;30,34;0,007768;0,02561;39053400;27,16
0,19;29,18;31,38;0,008666;0,02762;36209200;29,29
0,21;29,18;32,34;0,009564;0,02957;33817600;31,36
0,23;29,19;33,25;0,01046;0,03147;31780900;33,37
0,24;29,18;34,09;0,01136;0,03332;30011200;35,34
0,26;29,19;34,85;0,01226;0,03518;28427000;37,31
0,28;29,2;35,55;0,01316;0,03701;27022300;39,25
0,29;29,16;36,25;0,01405;0,03877;25790300;41,12
0,31;29,09;36,93;0,01495;0,04048;24700500;42,94
0,33;29,12;37,6;0,01585;0,04216;23721500;44,71
0,34;29,13;38,26;0,01675;0,04378;22842200;46,43
0,36;29,13;38,92;0,01765;0,04534;22054800;48,09
0,38;29,13;39,56;0,01854;0,04687;21336000;49,71
0,39;29,12;40,18;0,01944;0,04839;20665900;51,32
0,41;29,11;40,78;0,02034;0,04988;20050000;52,9
0,43;29,09;41,38;0,02124;0,05132;19486400;54,43
0,44;29,09;42,01;0,02214;0,0527;18976900;55,89
0,46;29,08;42,63;0,02303;0,05403;18506900;57,31
0,48;29,09;43,24;0,02393;0,05534;18070200;58,69
0,49;29,11;43,85;0,02483;0,05663;17659200;60,06
0,51;29,15;44,43;0,02573;0,0579;17270600;61,41
0,53;29,17;44,99;0,02663;0,05918;16896800;62,77
0,54;29,19;45,51;0,02752;0,06048;16533700;64,15
0,56;29,2;45,99;0,02842;0,0618;16181900;65,54
0,58;29,19;46,47;0,02932;0,0631;15848200;66,92
0,59;29,18;46,93;0,03022;0,06439;15530300;68,29
0,61;29,18;47,39;0,03112;0,06566;15229600;69,64
0,63;29,19;47,85;0,03201;0,06691;14945500;70,96
0,64;29,21;48,3;0,03291;0,06814;14675600;72,27
0,66;29,19;48,76;0,03381;0,06934;14422300;73,54
0,68;29,19;49,21;0,03471;0,07052;14179900;74,79
0,69;29,19;49,66;0,03561;0,0717;13947100;76,04
0,71;29,17;50,1;0,0365;0,07286;13724500;77,28
0,73;29,16;50,53;0,0374;0,07402;13510100;78,5
0,74;29,16;50,96;0,0383;0,07515;13306100;79,71
0,76;29,15;51,38;0,0392;0,07628;13109100;80,9
0,78;29,14;51,8;0,0401;0,07741;12918400;82,1
0,79;29,17;52,2;0,04099;0,07853;12733900;83,29
0,81;29,17;52,6;0,04189;0,07964;12556300;84,47
0,83;29,17;53;0,04279;0,08073;12387200;85,62
0,84;29,17;53,4;0,04369;0,08181;12223800;86,76
0,86;29,16;53,79;0,04459;0,08288;12064900;87,91
0,88;29,16;54,18;0,04548;0,08395;11911700;89,04
0,89;29,15;54,57;0,04638;0,085;11764700;90,15
0,91;29,12;54,95;0,04728;0,08605;11621600;91,26
0,93;29,11;55,32;0,04818;0,08709;11482300;92,37
0,94;29,13;55,7;0,04908;0,0881;11350400;93,44
0,96;29,13;56,09;0,04997;0,08909;11224100;94,49
0,98;29,13;56,47;0,05087;0,09008;11100900;95,54
0,99;29,13;56,86;0,05177;0,09105;10983300;96,56
1,01;29,12;57,25;0,05267;0,09199;10870200;97,57
1,03;29,12;57,64;0,05357;0,09293;10761000;98,56
1,04;29,1;58,03;0,05446;0,09386;10654100;99,55
1,06;29,1;58,41;0,05536;0,09478;10550700;100,5
1,08;29,11;58,79;0,05626;0,09569;10450500;101,5
1,09;29,11;59,18;0,05716;0,09658;10354600;102,4
1,11;29,09;59,57;0,05806;0,09745;10261200;103,4
1,13;29,08;59,95;0,05895;0,09833;10169700;104,3
1,14;29,08;60,33;0,05985;0,09921;10079500;105,2
1,16;29,08;60,7;0,06075;0,1001;9991320;106,1
1,18;29,07;61,06;0,06165;0,101;9904290;107,1
1,19;29,07;61,41;0,06255;0,1018;9818670;108
1,21;29,06;61,76;0,06344;0,1027;9734070;109
1,23;29,06;62,1;0,06434;0,1036;9651500;109,9
1,24;29,06;62,44;0,06524;0,1045;9571020;110,8
1,26;29,06;62,77;0,06614;0,1054;9491290;111,7
1,28;29,05;63,11;0,06704;0,1062;9413940;112,7
1,29;29,03;63,45;0,06793;0,1071;9339600;113,6
1,31;29,02;63,79;0,06883;0,1079;9267860;114,4
